,country,city,yelp,four_square,google
"55.24601, -107.58192",Canada,La Plonge 192,0.0,1.0,0.0
"27.7847, 61.30295",Iran,Qaderabad,0.0,0.0,3.0
"53.16644, -126.31993",Canada,Ice Hill,0.0,0.0,0.0
"-17.38333, -48.4",Brazil,Palmelo,0.0,30.0,5.0
"58.32333, 100.09528",Russia,Kosoy Byk,0.0,0.0,1.0
"52.41653, 133.33867",Russia,Taloma,0.0,0.0,0.0
"-4.51811, 151.62302",Papua New Guinea,Poiniara,0.0,0.0,1.0
"46.90654, -67.38997",Canada,Plaster Rock,1.0,20.0,18.0
"66.88996, 18.40836",Sweden,Luohkáluokta,0.0,1.0,2.0
"53.16605, 139.05147",Russia,Kaygachan,0.0,0.0,0.0
"63.16667, -169.3",United States,Maknighak Camp,0.0,0.0,0.0
"-10.14447, 148.00914",Papua New Guinea,Kinikalana,0.0,0.0,14.0
"-44.48767, -65.31431",Argentina,Puerto Larrea,0.0,0.0,0.0
"17.55, 32.95",Sudan,Jabal Sa’ada,0.0,0.0,0.0
"-22.2, 131.06667",Australia,Matchee Spring,0.0,0.0,1.0
"52.03982, 0.72503",United Kingdom,Sudbury,24.0,30.0,18.0
"48.953, 3.06238",France,La Ferte-sous-Jouarre,2.0,30.0,18.0
"-0.89065, 110.78539",Indonesia,Ng Bengaras,0.0,1.0,3.0
"47.733333, 24.366667",Romania,Vişeu de Jos,0.0,30.0,18.0
"45.68893, 131.70528",China,Wudaogang,0.0,0.0,5.0
"2.73333, 10.1",Cameroon,Andjek,0.0,2.0,8.0
"-83.5, 167.35",,Asquith Bluff,0.0,0.0,0.0
"54.07687, 13.80932",Germany,Wolgast,24.0,30.0,18.0
"8.58583, 45.02694",Ethiopia,Naskul,0.0,0.0,0.0
"65.82569, 14.08287",Norway,Tomyra,0.0,3.0,2.0
"10.50127, 122.9527",Visayas,Maao,0.0,30.0,0.0
"47.33672, 125.72474",China,Jiangjiatun,0.0,0.0,0.0
"68.47167, -149.98278",United States,Itikmalak River,0.0,0.0,0.0
"-67.40472, 59.01",,Rund Island,0.0,0.0,0.0
"61.6785, 40.3686",Russia,Khimicheskiy Les,0.0,30.0,0.0
"78.43371, -111.50934",Canada,Borden Island,0.0,0.0,0.0
"-14.81667, 27.01667",Zambia,Sianzovu,0.0,0.0,0.0
"63.15, 42.06667",Russia,Katino,0.0,0.0,0.0
"69.88357, 28.45465",Norway,Geahčoaivi,0.0,0.0,0.0
"-17.19694, 33.51167",Mozambique,Mungari,0.0,0.0,0.0
"49.44543, 121.27592",China,Wu'er Qi Hanhongsheng Dadui Nongyedian,0.0,1.0,0.0
"-16.9676, 129.24181",Australia,Mount in Creek Yard,0.0,0.0,0.0
"-8.53333, 27.6",Democratic Republic of the Congo,Kungwe,0.0,0.0,0.0
"-18.91667, 26.66667",Zimbabwe,Jambezi Pan,0.0,0.0,0.0
"-23.17081, 29.04283",South Africa,Tswatsane,0.0,7.0,0.0
"-24.01667, 21.88333",Botswana,Tshane,0.0,1.0,0.0
"-27.64631, 21.40841",South Africa,Hop-Hop,0.0,0.0,0.0
"56.1678, 100.3623",Russia,Kaymeya,0.0,0.0,0.0
"58.61524, 7.41391",Norway,Kyrkjebygdi,0.0,14.0,0.0
"-35.77093, -61.33457",Argentina,Cadret,0.0,0.0,0.0
"-31.43787, 29.78663",South Africa,Cutweni,0.0,5.0,0.0
"15.82789, 12.69278",Niger,Mabrouka Doûdi,0.0,0.0,0.0
"66.43583, -158.74389",United States,Ekiek Creek,0.0,0.0,0.0
"11.9774, 21.8225",Chad,Ankarouba,0.0,0.0,0.0
"-71.3, -12.4",,Norvegia Bank,0.0,0.0,0.0
"2.50187, 19.37771",Democratic Republic of the Congo,Mobede,0.0,0.0,0.0
"29.34923, 6.62701",Algeria,Meksem el Abiod,0.0,0.0,0.0
"15.93722, 52.13833",Yemen,Ţabūt,0.0,0.0,0.0
"22.26667, -11.71667",Mauritania,Mzeïbira,0.0,0.0,0.0
"52.57106, 18.57758",Poland,Piotrków Kujawski,0.0,28.0,0.0
"72.1125, 74.89389",Russia,Syadeyyakha,0.0,0.0,0.0
"17.216667, 51.266667",Yemen,Shi‘b Bahūbayn,0.0,0.0,0.0
"6.36667, 4.38333",Nigeria,Ajumo,0.0,0.0,0.0
"53.56836, 22.47951",Poland,Okol,0.0,30.0,0.0
"38.1338, 101.564",China,Xinquan,0.0,0.0,0.0
"21.03722, -97.42472",Mexico,La Laja de Zapote Bueno,0.0,30.0,0.0
"-12.61667, 14.2",Angola,Tchingua,0.0,0.0,0.0
"38.16248, -88.06434",United States,Crossville,0.0,30.0,0.0
"-32.38333, -72.85",,Quebrada de Chorrillo,0.0,0.0,0.0
"58.99821, 61.10074",Russia,Vagran,0.0,1.0,0.0
"59.6395, 57.0283",Russia,Popova-Ostanina,0.0,10.0,0.0
"39.05528, 125.26583",North Korea,Soktagon-ni,0.0,0.0,0.0
"59.125, -132.00278",Canada,Disella Lake,0.0,0.0,0.0
"56.48333, 10.83333",Denmark,Veggerslev,0.0,30.0,0.0
"-0.86667, 22.66667",Democratic Republic of the Congo,Nongo,0.0,0.0,0.0
"-85.633, -69.233",,Damschroder Rock,0.0,0.0,0.0
"46.42937, 135.30143",Russia,Gora Yantarnaya,0.0,0.0,0.0
"57.11677, -106.43394",Canada,Grassick Lake,0.0,0.0,0.0
"35.22792, 140.39641",Japan,Ohara,3.0,30.0,0.0
"10.4, 6.06667",Nigeria,Umma,0.0,0.0,0.0
"60.53334, -77.58311",Canada,Pointe Kippaku,0.0,0.0,0.0
"16.26667, -6.3",Mauritania,’Alâb,0.0,0.0,0.0
"10.7604, 16.8031",Chad,Tchilili Nguiribing,0.0,0.0,0.0
"34.73184, 135.75982",Japan,Nara-shi,28.0,30.0,0.0
"42.25736, -122.42641",United States,Grizzly County Campground,0.0,10.0,0.0
"-69.55, 158.05",,Celestial Peak,0.0,0.0,0.0
